"RegionName","City","State","Metro","CountyName","SizeRank","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.777453838678329,0.797660196756182,0.797660196756182,0.825748806361605,0.841623946068766,0.821880153930731,0.796181091755574,0.794547255059726,0.809364482023767,0.846755637367694,0.80091533180778,0.861803631886734,0.846755637367694,0.784210526315789,0.822490194583513,0.815494393476045,0.833635375135919,0.837496326770497,0.815553779901436,0.814432989690722,0.786922245667184,0.781738586616635,0.797031249172847,0.799360511590727,0.783684093919728,0.801749271137026,0.821880153930731,0.815956482320943,0.815494393476045,0.811197091291816,0.822337971538511,0.822337971538511,0.817860300618921
"06511","New Haven","CT","New Haven-Milford","New Haven County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.372768295075535,0.425123422929237,0.429271300666162,0.445726271630834,0.396534212941609,0.396243029057822,0.38109287361558,0.389254385964912,0.409962916473818,0.404970813738586,0.404970813738586,0.404970813738586,0.44774453861345,0.501474326260019,0.480030721966206,0.480030721966206,0.489454833924538,0.430650430650431,0.427350427350427,0.394197414064964,0.389722698684963,0.401816911250873,0.386480751742952,0.37661406025825,0.378902697787208,0.433196534427725,0.42749658002736,0.443425076452599,0.45709410043881,0.48526863084922,0.487567040468064,0.468658465143527
"33178","Doral","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31028833551769,1.2559006485672,1.2778505897772,1.28454651615415,1.2914445287953,1.33861925888886,1.38339920948617,1.34131438014626,1.34131438014626,1.32131589120702,1.32433399805696,1.34533353671567,1.32347221488164,1.27582017010936,1.24528301886792,1.37107068788179,1.33360689372179,1.30619684082625,1.30619684082625,1.29246676514032,1.2785481618849,1.34573036457059,1.34573036457059,1.31523775064655,1.310706401766,1.28176115694771,1.28267193911946,1.29439741872467,1.31688025183825,1.30688213567329
"92880","Eastvale","CA","Riverside-San Bernardino-Ontario","Riverside County",4,0.682539682539683,0.692447600900745,0.698324022346369,0.713795241317231,0.706884891484321,0.711958475463137,0.708174472647135,0.724462690171456,0.707418851499784,0.700348762615539,0.702007375403561,0.709639266706091,0.691918223543087,0.68980703423978,0.692602416740348,0.683229813664596,0.678794461037198,0.698191861725262,0.714285714285714,0.697916666666667,0.700454663090533,0.688329330713437,0.692550637312615,0.68762278978389,0.695704779189353,0.69593147751606,0.693742153073533,0.692957223717175,0.701480904130943,0.700712589073634,0.715736607142857,0.719034424544921,0.723310503577782,0.712235030004749,0.709639126305793,0.708026058921471,0.736260846699974,0.725532571781414,0.729251700680272,0.726561396484421,0.751325336868617,0.71078431372549,0.751325336868617,0.741399762752076,0.725733293014817,0.722661576220344,0.72108843537415,0.743826242189824,0.753920386007238,0.753483082172306,0.746855957348349,0.742472283620926,0.729108244531688,0.793230893220873,0.762377488097235,0.766145640768513,0.794990471004628,0.737560745629941,0.766156557331909,0.771055753262159,0.761296660117878,0.784938627291493,0.795853913638723,0.813195764322563,0.810443296165352,0.798860398860399,0.790350993502926,0.788866930171278,0.816449954641669,0.789286674272952,0.779478458049887,0.793136937520233,0.810443296165352,0.813498532768177,0.812607732085693,0.823332403014234,0.831845238095238,0.818423384552574,0.836418895597652,0.847025747789107,0.840336134453782,0.819087839102665,0.813344361731459,0.825228411435308,0.826107561941954,0.835781483941714,0.823810789263885,0.818371317897134,0.830670926517572,0.844004656577416,0.84668884185062,0.84530853761623
"02130","Boston","MA","Boston-Cambridge-Newton","Suffolk County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.902777777777778,0.922367409684858,0.989583333333333,0.916052752223144,0.899424770268001,0.917731891183219,0.904116107542232,0.869498899116641,0.849443468072642,0.841375897055184,0.873379099923722,0.957943925233645,0.928733889310083,0.95120045654918,1.02481707509383,0.998376623376623,0.941660307553527,0.947383943517682,0.944822373393802,0.928694774843721,0.888516589739794,0.864155603581352,0.885668276972625,0.883501434677688,0.917665052255927,0.909529057130422,1.02742437093582,1.10185434023112,1.17956672324824,1.0977522216414,0.950547528556599,0.947309422789167,0.995294969236337
"11937","East Hampton","NY","New York-Newark-Jersey City","Suffolk County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8536585365854,14.9074074074074,16.4583333333333,15,15,14.03125,13.3985181437629,13.3824021411843,13.9642857142857,14.1428571428571,13.2352941176471,14.6128593161983,14.8148148148148,13.739941932808,13.0602006688963,13.3333333333333,13.0797534436128,11.7067307692308,12.5,12.2498465316145,11.5384615384615,11.1111111111111,11.4510489510489,12.5,12.5,13.3333333333333,12.9102564102564,12.8204615384615,12.9166666666667,12.9102564102564,12.442969722107,11.889880952381,11.6666666666667
"02144","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07191901408451,1.00107087469711,1.01918465227818,1.02972959388822,1.01779252110977,1.14122681883024,1.301846805934,1.20805369127517,1.12630732099759,1.0590015128593,1.00644122383253,1.00644122383253,0.969627202691933,1.07033639143731,1.0919017288444,1.10572109079764,1.1010165184244,1.23046592762329,1.30727264823509,1.31648235913639,1.27064803049555,1.31172839506173,1.22295390404516,1.11797587525743,1.06800714774137,1.1003861003861,1.11687275628241,0.999412110523222,1.16808415261163,1.35,1.42148009748264,1.33474576271186,1.31208187271125,1.32151974021671,1.16197183098592,1.06538192841884
"02134","Boston","MA","Boston-Cambridge-Newton","Suffolk County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16333333333333,2.17647058823529,2.17391304347826,2.04918032786885,2,1.77777777777778,2,2.17391304347826,2.23347230494342,2.25,2.28571428571429,2.275,2.25,2.2344249201278,2.2352124600639,2.2344249201278,2.23383777023759,2.15
"14216","Buffalo","NY","Buffalo-Cheektowaga-Niagara Falls","Erie County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.417976088615192,0.43273013375295,0.43429003021148,0.430478916158788,0.428512709542185,0.440205429200293,0.454545454545455,0.433464105339105,0.422684943637843,0.443672839506173,0.438262195121951,0.423564525052733,0.414997708657215,0.427350427350427,0.467289719626168,0.475647981688783,0.463874865513531,0.473251028806584,0.451189499589828,0.451702571230021,0.452016908440341
"90210","Beverly Hills","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3930373618522,4.5303920065093,4.86842105263158,4.94688490047927,5.14775144837734,5.43657405406775,5.13388937664618,5.11152416356877,5.39160045402951,5.51501781774987,5.32051224914543,5.55637872277374,5.55637872277374,5.77190957190957,5.720152537401,5.44077134986226,5.71116782946948,5.75053918044572,5.76122437617765,5.96443844249381,5.83175211509854,5.46262386425956,5.58387796071558,5.45774417386751,5.41666666666667,5.37324574499851,5.41666666666667,5.42868153790352,5.33074872788951,5.28709494030699,5.11562265167199,5.8162855996791,5.79664927151881
"14213","Buffalo","NY","Buffalo-Cheektowaga-Niagara Falls","Erie County",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.475920893719807,0.489238664215686,0.452586206896552,0.409090909090909,0.415273423894114,0.456880237902136,0.395299145299145,0.378557032487163,0.406187354788925,0.392110266159696,0.399691257039194,0.448052176889927,0.488328544565887,0.465227088402271,0.416380494505495,0.426548997977569,0.423852639647408,0.419135205957386
"11968","Southampton","NY","New York-Newark-Jersey City","Suffolk County",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8461538461538,13.3928571428571,13.5416666666667,15.20958011873,15.2173913043478,16.6666666666667,17.4334697058251,17.9516441005803,16.9704588309239,16.985229415462,15.9235668789809,15.3562100188764,15,15,15.7362928606924,15.2035950110051,15.3947368421053,16.3333333333333,16.8571428571429,19.1975427145325,18.3333333333333,16.9491525423729,17.6041666666667,16.852157469486,15.8174115370823,15,16,16.0630841121495,14.2857142857143,15,14.9451410658307,14.1606591143151,14.2857142857143,15,13.1313131313131,12.7659574468085,13.1578947368421,13.078231292517,13.8263330311342,13.8263330311342,13.7805742644452,13.8888888888889,13.9054627419783,13.8248847926267,13.9470044090948,14.1698973258691,14.7356383009235,14.9940047961631,13.6187285504167,13.3771247739602,13.3473628691983
"11963","Sag Harbor","NY","New York-Newark-Jersey City","Suffolk County",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6666666666667,19.0909090909091,19.4285714285714,16.6666666666667,14.6327404479578,13.75,12.8571428571429,13.75,14,14.4633518384424,13.875,13.0588106689987,13.0805497994335,14.0178571428571,12.6823081800888,12.8824476650564,12.8498043052838,12.8824476650564,12.8571428571429,12.5,12.8571428571429,14.0178571428571,12.8571428571429,12.8498043052838,13.4228187919463,12.8424657534247,13,13.4770889487871,13.4408064516129,13.8887380952381,13.8886666666667,13.4480903711673,11.3739763421292
"11976","Water Mill","NY","New York-Newark-Jersey City","Suffolk County",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4992745158876,16.6666666666667,16.2689804772234,14.8367952522255,14.1787508973439,15.4761904761905,17.3083909448285,16.3434454624923,16.4179104477612,17.2834485563237,17.3333333333333,16.923337282112,17.0823582962284,15.625,15.0301204819277,15.0602409638554,14.6890623929868,12.8354281823217,14.3543956043956,13.7254901960784,14.4230769230769,15,14.4078539480094,14.5400512620075,15.5505952380952,16.6665833333333,16.3263541666667,15.4761904761905,13.8465120100792,12.5666557185841
"11932","Bridgehampton","NY","New York-Newark-Jersey City","Suffolk County",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2142857142857,13.6111111111111,15.4658385093168,15,16,15.7894736842105,15.9985780305723,16.6666666666667,16.7708333333333,16,16,16.6666666666667,18.5714285714286,18.4113300492611,17.8174603174603,18.9655172413793,20.7547169811321,22,18.046398046398,19.8863636363636,19.2222222222222,17.2727272727273,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.4705882352941,14.9285714285714,15.5050505050505,15.6696428571429,15.625,15.8125,16.25,15.8947368421053,15.9090909090909,13.75,13.8888888888889,15.2671755725191,13.8888888888889,14.2857142857143,15.5547874179053,15.6184922948771,15.6663890045814,15,14.6507936507937,14.9166666666667,15.3885630498534,16.3934426229508,16.58325,16.31268250667,15.5397727272727,15.0943396226415
